foodname,calories,protein,fat,carbs,salt
Espresso (Getränk) mit Zucker,43,0.4,0.0,10.072,0.018
"Kartoffel geschält, geschmort ohne Fett",80,1.8,0.081,17.162,0.0058
Edel-Reizker gedünstet,51,3.99,0.944,4.2,0.02
"Schaf Hinterhaxe, mittelfett, geschmort ohne Fett",242,27.9,14.5,0.0,0.14
"Pute Flügel, mit Haut, gekocht",152,20.7,7.7,0.0,0.062
Chicoree gebacken,24,2.812,0.212,1.5,0.135
Hafervollkornbrot,194,5.83,1.53,34.0,1.142
"Barsch/Flussbarsch, tiefgefroren",79,18.4,0.6,0.0,0.118
Satsumasaft,39,0.7,0.24,7.68,0.0062
"Pfefferschote grün, gekocht",42,2.1,0.2,7.11,0.015
Sahneschokolade mit Mokka/Kaffee,560,7.2,35.5,51.2,0.168
Heidelbeersaft,47,0.4,0.48,8.73,6.692e-05
Kochbanane getrocknet,306,2.79,0.17,69.7,0.018
"Kalb Bug/Schulter, gebraten ohne Fett (Ofen)",120,27.503,1.092,0.0,0.235
"Hähnchen Flügel, mit Haut, tiefgefroren",199,18.33,13.94,0.0,0.2318
Buckellachs gebraten ohne Fett (Pfanne),145,24.9,5.0,0.0,0.165
Popcorn gesüßt,406,5.973,12.622,64.4,0.012
"Rind Zunge, gekocht",211,18.462,15.288,0.0,0.145
Biskuitboden glutenfrei,258,7.372,4.982,45.772,0.218
Süßkirsche gedünstet,81,1.034,0.356,17.62,0.000678
"Kalb Brust, geschmort ohne Fett",229,23.061,15.147,0.0,0.21
"Schwein Kammbraten, gebraten, ohne Fett (Ofen)",205,24.66,11.78,0.0,0.1505
Gelbflossen-Thun gedünstet,91,21.8,0.47,0.0,0.122
Gurke gebraten ohne Fett (Pfanne),28,1.8,0.339,3.33,0.012
Spinat gekocht,18,2.36,0.3,0.45,0.115
"Schwein Stielkotelett, tiefgefroren",175,21.02,10.08,0.0,0.1218
Colaweizen (Weizenbier mit Cola),41,0.307,0.0,6.377,0.002
Johannisbeersaft rot,30,1.294,0.16,3.86,0.005
"Gans Fleisch, ohne Haut, gegrillt",183,29.4,7.22,0.0,0.262
"Hühnerei Eiklar, gebacken",49,11.7,0.036,0.494,0.558
Sardelle gebraten ohne Fett (Pfanne),234,23.869,15.4,0.0,0.275
Schokobiskuitboden,290,11.59,6.78,44.4,0.278
Brennnessel gekocht,43,6.768,0.56,1.202,0.0
Chayote gebraten ohne Fett (Pfanne),58,1.32,0.169,9.86,0.008
"Schwein Filet/Lende, tiefgefroren",118,22.79,2.97,0.0,0.1225
Wildlachs geräuchert,120,21.483,3.78,0.0,0.13
"Kalb Leber, gebraten ohne Fett (Pfanne)",110,18.625,1.513,5.395,0.242
Grünkohl tiefgefroren,59,4.622,0.744,3.69,0.07
Schwein Roulade (Oberschale) gebraten ohne Fett (Pfanne),141,29.15,2.68,0.0,0.1352
"Schwein Herz, tiefgefroren",117,16.9,5.53,0.0,0.275
Schwein Dicke Rippe gekocht,256,28.54,15.81,0.0,0.1262
Blumenkohl gedämpft,35,2.399,0.277,5.28,0.028
"Reh Rücken, geschmort ohne Fett",152,29.151,3.89,0.0,0.172
"Reis Grieß, gekocht",55,1.143,0.103,12.2,0.0
Knoblauch gedünstet,96,5.931,0.412,3.0,0.0192838
Radieschen gedünstet,18,1.029,0.137,2.27,0.055
"Kalb Brust, tiefgefroren",201,18.4,14.2,0.0,0.262
"Hafer Flocken, gekocht",66,2.499,1.257,10.0,0.00092
Rotkohl gekocht,24,1.421,0.164,3.034,0.025
"Ziege Fleisch, geschmort ohne Fett",178,30.504,6.256,0.0,0.15
Semmelknödel roh,182,8.11,4.99,25.4,1.262
Schalotte gedünstet,33,2.0,0.1,3.2,0.028
"Schwein Ladenbauch, gebraten ohne Fett (Ofen)",364,22.77,30.34,0.0,0.1688
Kochbanane gedünstet,141,1.28,0.08,32.1,0.008
Kakisaft,56,0.6,0.24,12.712,0.0035
"Thunfisch tiefgefroren, gegrillt",131,30.87,0.84,0.0,0.205
Rind Bratenfleisch (Bug) gebraten ohne Fett (Ofen),161,26.933,5.889,0.0,0.148
"Gans Fleisch, mit Haut, tiefgefroren",342,15.7,31.0,0.0,0.215
"Hähnchen Flügel, mit Haut, geschmort ohne Fett",185,21.9,10.86,0.0,0.1205
"Pferd Fleisch, tiefgefroren",108,20.6,2.67,0.4,0.11
"Schaf Hinterhaxe, mittelfett, gekocht",259,29.8,15.5,0.0,0.15
Blumenkohl gedünstet,38,2.579,0.298,5.66,0.032
"Mandel süß, gemahlen",538,22.333,46.6,3.87,0.00518
"Buchweizen Grieß, gekocht",46,1.66,0.41,8.65,0.0
"Rind Tatar/Schabefleisch, tiefgefroren",115,22.0,3.0,0.0,0.165
"Brosme/Lumb, gebraten ohne Fett (Pfanne)",88,20.544,0.619,0.0,0.3
Weißkohl gebraten ohne Fett (Pfanne),60,2.608,0.358,8.56,0.022
"Schaf Leber, gebraten ohne Fett (Pfanne)",144,22.0,5.7,1.1,0.17
Champignon gekocht,39,4.99,0.374,4.0,0.11742
Himbeere gedünstet,45,1.1,0.316,5.4,0.0012
"Schaf Hals/Kamm/Nacken, gebraten ohne Fett (Ofen)",208,23.2,12.86,0.0,0.19
Karpfen pochiert,107,15.882,4.88,0.0,0.078
Hecht gedünstet,74,16.2,1.06,0.0,0.188
Sardine gebraten ohne Fett (Pfanne),175,23.038,9.17,0.0,0.36
"Schaf Brust, mittelfett, geschmort ohne Fett",242,29.1,14.0,0.0,0.202
"Heilbutt/Weißer Heilbutt, gedünstet",122,17.946,5.55,0.0,0.17
"Gans Fleisch, ohne Haut, gekocht",158,29.3,4.58,0.0,0.125
Heidelbeerkompott,65,0.4,0.451,12.2,0.005
"Schwein Hackfleisch, gebraten ohne Fett (Pfanne)",339,25.35,26.44,0.0,0.1672
Kalte Ente (Bowle aus Wein und Sekt),74,0.1,0.0,1.55,0.005
Bleichsellerie gebacken,20,1.412,0.1,1.9,0.23
Rind Steak (Rücken) gebraten ohne Fett (Ofen),162,29.523,4.877,0.0,0.16
Wachsbohne tiefgefroren,30,2.3,0.2,3.7,0.00495
Chicoree gedünstet,22,2.543,0.191,1.4,0.122
Europäische Auster gratiniert ohne Fett (Ofen),73,9.8,3.27,1.211,0.445
Rinderzunge gekocht,211,18.462,15.288,0.0,0.145
Grünkohl gedünstet,46,3.617,0.583,2.89,0.055
"Halloumi Grillkäse, gebacken",332,22.59,26.38,0.1,1.6488
Quitte gekocht,44,0.411,0.515,6.7,0.002
"Rind Tatar/Schabefleisch, gebraten ohne Fett (Pfanne)",148,28.541,3.73,0.0,0.155
"Schwein Hintereisbein/Hinterhaxe, gekocht",259,26.24,17.07,0.0,0.1385
"Schaf Vorderhaxe, mittelfett, gegrillt",256,27.3,16.3,0.0,0.21
"Mungbohne reif, gekocht",111,8.6,0.7,14.5,0.0012
"Lamm Nuss, gebraten ohne Fett (Ofen)",147,25.676,4.973,0.0,0.172
"Thunfisch tiefgefroren, gebraten ohne Fett (Pfanne)",119,28.165,0.741,0.0,0.165
"Schaf Keule, fett, geschmort ohne Fett",309,26.7,22.5,0.0,0.158
"Schaf Fleisch, grob entsehnt, roh",181,18.4,11.9,0.0,0.215
"Weizen Backschrot, Type 1700, gekocht",52,1.95,0.27,9.41,0.0002
"Dorsch/Kabeljau, gebraten ohne Fett (Pfanne)",93,21.1,0.94,0.0,0.19
Hühnerei pochiert,138,13.444,9.184,0.347,0.392
Chinakohl gebacken,21,2.118,0.235,1.62,0.038
Karpfen geräuchert,128,19.432,5.59,0.0,0.08
"Porree/Lauch, gekocht",26,2.006,0.2,3.0,0.002
Schwarztee (Getränk) mit Zucker,7,0.0,0.0,1.861,0.005
Clementinensaft,37,0.76,0.12,7.35,0.002
"Hirsch Fleisch, gebraten ohne Fett (Pfanne)",153,29.209,3.988,0.0,0.2
Hering gebraten ohne Fett (Pfanne),159,18.8,9.316,0.0,0.235
Forelle gegrillt,195,27.078,9.39,0.0,0.145
"Kalb Hackfleisch, roh",189,19.112,12.515,0.0,0.208
Romanesco gekocht,30,2.058,0.238,4.52,0.02
"Schwein Filetmedaillon, gegrillt",128,28.7,1.5,0.0,0.145
Pflaumensaft,41,0.27,0.136,9.64,0.0018
Traubensaft rot,70,0.54,0.08,15.75,0.0094905
"Gans Innereien, tiefgefroren",154,17.9,9.21,0.0,0.192
"Rind Roastbeef (Rücken) Rohpökelware, geräuchert",123,20.981,4.159,0.492,4.5
Schwein Schnitzel (Oberschale) gebraten ohne Fett (Ofen),131,28.12,2.027,0.0,0.198
"Dinkelteigwaren eifrei, roh",358,13.4,1.4,69.53,0.0035
Neuseeländer Spinat gebraten ohne Fett (Pfanne),23,2.2,0.3,1.39,0.485
"Hähnchen Fleisch, ohne Haut, gekocht",128,23.3,3.9,0.0,0.102
Sauerkirschkompott,96,0.679,0.377,21.436,0.005
Broccoli tiefgefroren,31,2.2,0.663,2.4,0.065
"Kasseler, Rohpökelware, geräuchert, gedünstet",155,32.781,2.618,0.0,3.418
Pfifferling geschmort ohne Fett,39,5.777,0.4,0.822,0.01
Tomate geschmort ohne Fett,27,1.176,0.136,4.06,0.012
"Joghurt 1,5 % Fett mit Erdbeeren",54,3.668,1.211,6.002,0.098
Rind Kochfleisch (Hüfte) gekocht,181,30.3,6.625,0.0,0.115
"Hähnchen Fleisch, ohne Haut, geschmort ohne Fett",190,33.8,6.1,0.0,0.142
"Käsealternative Mozzarella-Art, vegan",188,1.8,19.4,1.3,0.122
Venusmuschel tiefgefroren,73,14.7,0.96,1.4,0.822
"Erbse grün, tiefgefroren, gekocht",76,4.8,0.692,9.9,0.178
Königslachs tiefgefroren,180,19.9,11.2,0.0,0.12
Pfirsich gedünstet,45,0.8,0.125,9.11,0.001952
"Gans Innereien, gebraten ohne Fett (Pfanne)",236,26.6,14.39,0.0,0.255
Wirsing gedünstet,37,2.836,0.327,4.1,0.022
"Wildente Schenkel, mit Haut, gebraten ohne Fett (Ofen)",247,27.5,15.2,0.0,0.18
Sardelle gesalzen,211,20.128,14.5,0.0,14.895
Zander gesalzen,97,22.386,0.78,0.0,2.188
"Pommes frites tiefgefroren, frittiert, gesalzen",202,2.886,8.995,25.811,0.54
"Reh Keule, gebraten ohne Fett (Ofen)",143,32.27,1.587,0.0,0.202
"Edelkastanie/Marone, gekocht",197,2.779,1.843,38.316,0.005
"Heilbutt/Weißer Heilbutt, pochiert",136,20.1,6.22,0.0,0.198
Steinpilz gebraten ohne Fett (Pfanne),76,8.852,0.656,5.36,0.025
"Dicke Bohne unreif, gekocht",62,5.2,0.6,6.0,0.038
"Schaf Hals/Kamm/Nacken, gebraten ohne Fett (Pfanne)",224,24.9,13.8,0.0,0.202
"Taube Fleisch, mit Haut, gebraten ohne Fett (Ofen)",217,32.983,9.5,0.0,0.288
Austernpilz getrocknet,251,26.18,1.74,10.05,0.118
Quittensaft,38,0.378,0.4,7.3,0.005
Knollensellerie gekocht,26,1.368,0.291,2.44,0.155
"Milchmischgetränk > 1 % Fett, probiotisch, aromatisiert, gesüßt, angereichert mit Vitaminen",70,3.23,1.43,11.0,0.082
Dinkelbrötchen,287,10.8,3.58,49.0,1.472
Zuckererbse gedünstet,40,3.9,0.2,4.7,0.042
"Rote Rübe/Rote Bete, gekocht",58,1.6,0.3,11.0,0.13
Karpfen tiefgefroren,119,18.0,5.18,0.0,0.075
"Barsch/Flussbarsch, gebraten ohne Fett (Ofen)",95,22.13,0.7,0.0,0.128
"Kalb Filetsteak, gebraten ohne Fett (Pfanne)",157,27.879,5.041,0.0,0.082
"Sauerkraut abgetropft, gebraten ohne Fett (Pfanne)",42,2.123,0.585,1.87,2.245
Knollensellerie gebraten ohne Fett (Pfanne),55,2.87,0.611,5.13,0.358
"Gemüsepaprika gelb, gebacken",33,0.941,0.235,5.203,0.002
"Schwein Magen, gekocht",187,21.9,11.0,0.0,0.122
"Schwein Filetmedaillon, gebraten ohne Fett (Ofen)",127,28.8,1.3,0.0,0.134
"Lamm Brust, geschmort ohne Fett",378,24.195,31.25,0.0,0.188
"Kalb Nierenfett, tiefgefroren",671,8.2,70.9,0.0,0.072
"Porree/Lauch, tiefgefroren",32,0.9,0.278,5.0,0.0015
Schwarztee (Getränk) mit Sahne 30 % Fett,10,0.077,1.057,0.109,0.008
"Ente Schenkel, mit Haut, gegrillt",258,24.39,17.81,0.0,0.342
Kochbanane geschmort ohne Fett,162,1.46,0.09,36.8,0.01
"Hähnchen Brust, ohne Haut, gegrillt",138,28.41,2.74,0.0,0.1568
"Porree/Lauch, gebacken",43,2.518,0.294,6.0,0.0015
"Suppenhuhn Innereien, tiefgefroren",154,17.9,9.21,0.0,0.192
Lachsrogen gesalzen,126,24.8,3.0,0.0,3.585
Okra geschmort ohne Fett,35,2.285,0.218,3.36,0.01
"Hammel Bug/Schulter, gebraten ohne Fett (Ofen)",342,21.171,28.571,0.0,0.295
"Rind Herz, gebraten ohne Fett (Pfanne)",176,24.812,8.492,0.0,0.352
"Bohne grün, geschmort ohne Fett",32,2.518,0.27,3.9,0.00558
"Schaf Hinterhaxe, mittelfett, gegrillt",256,27.3,16.3,0.0,0.21
Kalb Steak (Rücken) gebraten ohne Fett (Ofen),150,30.4,3.176,0.0,0.282
Schwein Schnitzel (Nuss) gegrillt,140,28.24,3.05,0.0,0.165
Karpfen gedünstet,107,15.882,4.88,0.0,0.075
"Pute Fleisch, ohne Haut, gekocht",121,26.357,1.7,0.0,0.132
"Reh Rücken, gebraten ohne Fett (Ofen)",152,29.151,3.89,0.0,0.245
"Hase Fleisch, gebraten ohne Fett (Ofen)",135,26.649,3.127,0.0,0.122
"Forelle tiefgefroren, gebraten ohne Fett (Pfanne)",150,23.631,5.962,0.0,0.292
Aubergine gebraten ohne Fett (Pfanne),32,0.966,0.305,5.12,0.018
Kürbis Pumpkin (C. pepo) gedünstet,39,1.196,0.141,6.32,0.00242
Walnuss gemahlen,718,16.07,70.6,3.0,0.0
"Mandeldrink gesüßt, aromatisiert, angereichert mit Calcium",36,0.84,2.092,3.28,0.125
"Radler, alkoholfrei (Pilsner Bier, alkoholfrei, mit Zitronenlimonade)",28,0.208,0.0,6.474,0.012
Schwein Bauch (wie gewachsen) tiefgefroren,324,17.74,28.06,0.0,0.1522
"Hähnchen Herz, geschmort ohne Fett",152,15.85,9.87,0.0,0.1382
"Blei/Brachsen/Brasse, pochiert",82,13.833,2.94,0.0,0.08
Schwein Bauch (wie gewachsen) gegrillt,421,23.65,36.24,0.0,0.1902
"Schaf Hinterhaxe, mager, geschmort ohne Fett",159,30.3,4.19,0.0,0.192
"Schwein Brustspitze, gekocht",256,28.54,15.81,0.0,0.1262
Schwein Kotelett (Rücken/caudal) gebraten ohne Fett (Ofen),142,29.84,2.51,0.0,0.1198
Erdnuss-Krokant,546,18.8,32.3,37.4,0.008
Okra gedünstet,35,2.283,0.217,3.32,0.01
"Wildente Fleisch, mit Haut, tiefgefroren",206,17.4,15.2,0.0,0.14
Spinat tiefgefroren,20,2.313,0.316,0.98,0.132
"Schaf Schnitzel (Keule, mager) gegrillt",174,31.0,5.58,0.0,0.21
"Grünkern ganzes Korn, gekocht",173,5.84,1.34,31.23,0.0008
"Fasan Fleisch, mit Haut, gebraten ohne Fett (Ofen)",188,33.785,5.904,0.0,0.092
Ananassaftschorle,23,0.2,0.05,5.354,0.008
Bambussprossen gebraten ohne Fett (Pfanne),19,2.941,0.353,1.129,0.018
"Schaf Keule, mittelfett, gebraten ohne Fett (Ofen)",219,25.2,13.1,0.0,0.18
Kürbis Hokkaido (C. maxima) gebraten ohne Fett (Pfanne),56,2.593,0.37,9.811,0.032
Salzkartoffeln (Kartoffeln mit Salz gekocht),75,1.84,0.09,16.079,0.187
"Gans Fleisch, mit Haut, gegrillt",379,21.077,32.699,0.0,0.27
Flunder geräuchert,110,23.3,1.92,0.0,1.202
"Thunfisch tiefgefroren, gebraten ohne Fett (Ofen)",130,30.692,0.79,0.0,0.18
Weißkohl geschmort ohne Fett,57,2.443,0.336,8.1,0.022
"Pute Fleisch, mit Haut, gebraten ohne Fett (Pfanne)",216,27.494,11.806,0.0,0.185
Europäische Auster gedämpft,69,8.036,3.5,1.298,0.405
"Soja-Joghurtalternative gesüßt, aromatisiert",62,3.96,2.54,5.4,0.082
"Gemüsepaprika rot, gebraten ohne Fett (Pfanne)",61,1.737,0.339,10.49,0.0053
Buckellachs tiefgefroren,124,21.0,4.4,0.0,0.155
"Hammel Kotelett, gebraten ohne Fett (Pfanne)",393,19.39,35.068,0.0,0.262
"Kalb Filetsteak, gebraten ohne Fett (Ofen)",162,29.929,4.706,0.0,0.118
"Rotbarsch/Goldbarsch, gebraten ohne Fett (Pfanne)",108,18.2,3.9,0.0,0.212
"Pute Brust, ohne Haut, geschmort ohne Fett",145,34.111,0.914,0.0,0.07
"Schaf Schnitzel (Keule, mager) tiefgefroren",128,22.6,4.2,0.0,0.16
"Matjeshering mild gesalzen, geräuchert",294,17.273,24.398,0.0,6.748
Rind Roulade (Oberschale) gebraten ohne Fett (Pfanne),176,29.889,6.216,0.0,0.15
Steinpilz gebacken,64,7.5,0.556,4.54,0.02
"Roggen ganzes Korn, gekocht",161,5.871,0.86,28.738,0.005
"Hammel Kotelett, gegrillt",464,20.434,42.514,0.0,0.295
"Rind Hüfte, geschmort ohne Fett",152,31.5,2.85,0.0,0.12
"Sauerkraut abgetropft, geschmort ohne Fett",41,1.989,0.548,1.78,2.105
"Hähnchen Oberschenkel, mit Haut, geschmort ohne Fett",205,21.64,13.12,0.0,0.104
Tofu gebraten ohne Fett (Pfanne),157,21.579,7.425,0.0,0.042
"Rind Hüfte, gebraten ohne Fett (Ofen)",145,30.3,2.69,0.0,0.172
"Hähnchen Oberschenkel, mit Haut, gegrillt",309,27.42,22.14,0.0,0.2452
"Reis poliert, geschmort ohne Fett",111,2.428,0.167,24.4,0.00885
"Goldbutt/Scholle, gegrillt",105,23.7,1.1,0.0,0.2155
"Kaffee (Getränk) entkoffeiniert, mit Milch 3,5 % Fett",3,0.23,0.12,0.13,0.0125
"Kalb Herz, geschmort ohne Fett",175,27.175,7.36,0.0,0.282
"Ente Fleisch, ohne Haut, gebraten ohne Fett (Ofen)",144,28.8,3.2,0.0,0.3
"Schaf Vorderhaxe, mittelfett, gebraten ohne Fett (Ofen)",219,25.2,13.1,0.0,0.18
"Kohlrübe/Steckrübe, gekocht",38,0.7,0.1,7.0,0.01
Auberginenscheiben frittiert,76,0.642,6.097,3.59,0.322
"Schaf Keule, mager, gebraten ohne Fett (Ofen)",163,30.2,4.73,0.0,0.192
"Mischfett mit überwiegend Pflanzenfett, gesalzen, angereichert mit Vitaminen",496,0.39,54.33,1.24,1.0082
Karpfen gebraten ohne Fett (Ofen),150,23.425,6.24,0.0,0.088
"Wildkaninchen Fleisch, geschmort ohne Fett",143,29.6,2.77,0.0,0.112
"Hammel Herz, gebraten ohne Fett (Pfanne)",174,24.554,8.4,0.0,0.385
Kochbanane gebacken,152,1.39,0.08,34.7,0.01
"Kalb Leber, tiefgefroren",86,14.9,1.15,4.1,0.218
Sardelle gegrillt,246,24.622,16.4,0.0,0.325
Kalb Kotelett (Rücken) gebraten ohne Fett (Pfanne),142,27.867,3.348,0.0,0.195
"Kalb Bug/Schulter, tiefgefroren",94,21.2,1.01,0.0,0.218
Pflaume gedünstet,57,0.35,0.2,12.6,0.0022
Reisnudeln gekocht,91,1.889,0.15,20.4,0.032
"Dicke Bohne reif, gekocht",118,9.0,1.0,12.9,0.005
"Erbse grün, gebraten ohne Fett (Pfanne)",101,6.8,0.552,14.142,0.005
"Hähnchen Flügel, mit Haut, gebraten ohne Fett (Pfanne)",219,25.66,12.94,0.0,0.2815
Speisezwiebel gekocht,27,0.7,0.3,4.133,0.005
"Karotte/Möhre, tiefgefroren",40,0.75,0.421,6.471,0.0538
"Erbse grün, tiefgefroren, gebraten ohne Fett (Pfanne)",89,5.6,0.805,11.5,0.012
"Blei/Brachsen/Brasse, tiefgefroren",96,16.6,3.31,0.0,0.082
"Hammel Keule, gebraten ohne Fett (Ofen)",279,24.085,20.282,0.0,0.232
Schwein Dicke Rippe geschmort ohne Fett,251,26.5,16.1,0.0,0.1512
Rind Bratenfleisch (Bug) geschmort ohne Fett,163,27.126,6.057,0.0,0.098
Rind Filetsteak gebraten ohne Fett (Pfanne),157,27.879,5.041,0.0,0.118
"Reis parboiled, poliert, gekocht",110,2.68,0.32,23.8,0.002
Kürbis Pumpkin (C. pepo) gebraten ohne Fett (Pfanne),66,2.037,0.241,10.76,0.004125
"Rind Brustkern/Mittelbrust, gebraten ohne Fett (Ofen)",257,26.629,16.708,0.0,0.198
Ananas getrocknet,333,3.7,0.7,68.9,0.072
Schwein Bratenfleisch (Hüfte/Schinkenspeck) gebraten ohne Fett (Ofen),156,28.6,4.57,0.0,0.1315
Quarkblätterteig gebacken,509,10.29,36.48,33.3,0.142
"Hühnerei Eiklar, pochiert",42,10.1,0.031,0.418,0.472
"Ente Brust, mit Haut, gebraten ohne Fett (Ofen)",206,27.433,10.75,0.0,0.125
Grünkohl gebraten ohne Fett (Pfanne),79,6.209,1.0,4.95,0.092
Seehecht gedünstet,78,15.357,1.84,0.0,0.255
Kiwi gedünstet,62,0.9,0.5,10.3,0.008
Traubendicksaft,270,0.838,0.0,65.278,0.03
Spitzkohl gebraten ohne Fett (Pfanne),58,2.28,0.34,8.56,0.085
"Pute Fleisch, mit Haut, gegrillt",215,27.671,11.644,0.0,0.195
"Kaffee (Getränk) entkoffeiniert, mit Kondensmilch 7,5 % Fett",5,0.33,0.252,0.311,0.018
"Speiseeis (Nuss, Vanille) gemischt",217,2.89,11.48,24.69,0.0945
Geflügel-Wiener Würstchen gargezogen,214,13.21,17.25,0.97,1.8995
"Alaska-Pollack/Alaska-Seelachs, tiefgefroren, gebraten ohne Fett (Ofen)",106,24.344,0.962,0.0,0.225
"Kalb Herz, gebraten ohne Fett (Pfanne)",158,23.483,7.162,0.0,0.34
"Schaf Keule, mittelfett, geschmort ohne Fett",242,27.9,14.5,0.0,0.14
"Taube Fleisch, mit Haut, geschmort ohne Fett",202,32.047,8.233,0.0,0.15
Wildlachs gedünstet,163,17.355,10.419,0.0,0.118
"Kalb Niere, geschmort ohne Fett",219,31.73,10.192,0.0,0.662
"Kalb Keule, tiefgefroren",89,20.7,0.72,0.0,0.215
"Kohlrübe/Steckrübe, gedünstet",22,1.225,0.157,2.26,0.025
"Gerste Graupen, gekocht",114,3.8,0.471,22.9,0.005
"Karotte/Möhre, gebraten ohne Fett (Pfanne)",74,1.556,0.741,11.983,0.105
Brombeere gedünstet,52,1.37,0.2,10.8,0.002
Zander gebraten ohne Fett (Pfanne),102,23.75,0.74,0.0,0.065
"Rind Hochrippe, geschmort ohne Fett",199,28.407,9.471,0.0,0.102
Zander geräuchert,93,21.591,0.71,0.0,0.065
Papaya getrocknet,289,4.4,0.568,60.2,0.22
"Kaffee (Getränk) mit Haferdrink, ungesüßt",2,0.14,0.03,0.14,0.0135
Buckellachs gedünstet,110,18.3,4.1,0.0,0.152
Europäische Auster gegrillt,99,13.164,4.39,1.627,0.598
Okra gekocht,23,1.8,0.2,2.0,0.012
"Kasseler, Rohpökelware, geräuchert, gebraten ohne Fett (Ofen)",144,30.444,2.511,0.0,3.515
"Schwein Kochschinken, Kochpökelware, gebraten ohne Fett (Pfanne)",142,25.412,3.656,0.86,2.392
Zucchini gebacken,28,1.5,0.338,4.0,0.00318
Hering gesalzen,218,19.8,15.4,0.0,12.042
Knoblauch getrocknet,240,15.042,1.044,7.0,0.0489048
"Kalb Filet/Lende, tiefgefroren",101,21.2,1.82,0.0,0.238
"Kalb Lunge, gekocht",87,17.5,1.929,0.0,0.258
Eierteigwaren (mit Salz gekocht),129,5.2,0.785,24.647,0.358
Dörrpflaumenkompott,99,0.88,0.0,22.0,0.008
"Pangasius/Schlankwels, gebraten ohne Fett (Pfanne)",89,17.706,2.048,0.0,0.622
"Latte macchiato (Getränk) mit Milch 3,5 % Fett",50,2.9,2.79,3.22,0.072
Rhabarbersaft,12,0.51,0.112,1.087,0.005
"Kartoffel geschält, gekocht",76,2.0,0.1,15.832,0.0065
"Gans Fleisch, ohne Haut, gebraten ohne Fett (Pfanne)",186,35.1,5.09,0.0,0.292
"Schaf Filet/Lende, gebraten ohne Fett (Ofen)",225,24.0,14.3,0.0,0.215
"Schwarztee (Getränk) mit Milch 3,5 % Fett",2,0.12,0.12,0.13,0.008
Meerbarbe gedünstet,89,17.946,1.905,0.0,0.18
Miesmuschel gekocht,61,9.853,2.444,0.0,0.785
Champignon gegrillt,44,5.57,0.422,4.5,0.15895
"Erbse grün, gekocht",87,5.6,0.5,12.036,0.005
"Pfefferschote rot, gekocht",41,1.93,0.46,6.39,0.02
"Gemüsepaprika rot, gebacken",42,1.206,0.235,7.29,0.00368
Rind Filetsteak gegrillt,144,25.44,4.7,0.0,0.105
Dornhai gedünstet,169,11.25,13.81,0.0,0.042
"Einkorn ganzes Korn, gekocht",179,7.43,1.45,31.44,0.0008
Fleischwurst gebraten ohne Fett (Ofen),348,14.128,32.006,0.3,2.612
"Halloumi Grillkäse, gebraten ohne Fett (Pfanne)",307,21.69,24.0,0.1,1.6488
Mangosaft,51,0.6,0.36,11.0,0.02
"Schwein Kamm, Rohpökelware",162,18.07,9.74,0.47,4.5
Hallimasch gebraten ohne Fett (Pfanne),62,5.198,1.115,4.8,0.16938
"Mais Grütze, gekocht",52,1.375,0.448,9.974,0.0
"Alaska-Pollack/Alaska-Seelachs, pochiert",57,12.3,0.87,0.0,0.32
Tomate getrocknet,276,12.193,1.412,41.66,0.128
Kalb Kochfleisch (Brust) gekocht,231,23.895,14.992,0.0,0.145
"Köhler/Seelachs, gebraten ohne Fett (Pfanne)",116,22.942,2.689,0.0,0.1378
"Grünkern Vollkornschrot, gekocht",50,1.72,0.4,8.92,0.0002
"Gemüsepaprika gelb, gedünstet",30,0.87,0.217,4.807,0.002
"Lamm Kotelett, gebraten ohne Fett (Ofen)",293,27.897,20.19,0.0,0.202
"Ente Fleisch, ohne Haut, gebraten ohne Fett (Pfanne)",178,34.8,4.3,0.0,0.36
"Milchmischgetränk 1,5 % Fett, mit Kaffee, ungesüßt",36,2.88,1.26,3.17,0.074
"Lamm Kotelett, gegrillt",292,25.371,21.124,0.0,0.198
"Fleischkäse einfach, fein/Original Bayerischer Leberkäse fein, gekocht",211,12.06,17.65,0.5,1.2945
Wels gesalzen,147,17.125,8.7,0.0,2.172
Wurzelpetersilie gekocht,72,2.728,0.445,13.1,0.025
Roggenknäckebrot,334,9.4,1.34,62.0,1.295
Meeräsche tiefgefroren,108,20.4,2.89,0.0,0.172
"Frühlingszwiebel/Lauchzwiebel, gekocht",31,2.2,0.22,3.4,0.02
Kaffee (Getränk) mit Alkohol,16,0.11,0.0,0.0,0.01
"Hafer Schrot, gekocht",62,2.107,1.273,9.6,0.002
"Gemüsepaprika gelb, geschmort ohne Fett",31,0.87,0.218,4.859,0.002
"Schwein Bauch (wie gewachsen) Rohpökelware, geräuchert",374,18.0,33.3,0.492,3.5
Mangostanesaft,58,0.54,0.48,12.712,0.002
Kalb Gulasch (Bug) gebraten ohne Fett (Pfanne),120,27.136,1.239,0.0,0.175
"Schaf Bug/Schulter, mager, gebraten ohne Fett (Ofen)",176,26.7,7.73,0.0,0.212
Wurzelpetersilie geschmort ohne Fett,91,3.435,0.561,16.6,0.035
Meerforelle gedünstet,98,16.4,3.44,0.0,0.148
Schwarzwurzel tiefgefroren,62,1.463,0.453,8.8,0.012
"Kartoffel ungeschält, tiefgefroren",90,2.16,0.105,19.44,0.02
Schnecken tiefgefroren,68,14.4,1.2,0.0,0.175
"Hafer Grütze, gekocht",66,3.0,1.1,10.0,0.0025
