foodname,calories,protein,fat,carbs,salt
"Hammel Brust, roh",381,12.0,37.0,0.0,0.232
"Lamm Brust, roh",290,16.3,25.0,0.0,0.2
"Schaf Bug/Schulter, fett, roh",294,17.2,25.0,0.0,0.242
"Lamm Bug/Schulter, roh",121,19.8,4.6,0.0,0.175
"Schaf Gulasch (Bug, mager) roh",140,19.7,6.76,0.0,0.175
"Schaf Bratenfleisch (Bug, mager) roh",140,19.7,6.76,0.0,0.175
"Schaf Keule, mager, roh",128,22.6,4.2,0.0,0.16
"Schaf Vorderhaxe, mager, roh",112,20.4,3.35,0.0,0.205
"Wildkaninchen Fleisch, roh",104,20.9,2.32,0.0,0.125
"Hammel Hirn, roh",126,10.9,9.1,0.0,0.28
Hafer Grieß,360,14.238,7.15,53.2,0.015
Wildreis roh,363,13.14,0.953,73.43,0.01452
"Glasnudeln aus Mungbohnenstärke, roh",350,0.237,0.056,85.9,0.039
Weizen Stärke,335,0.431,0.14,82.5,0.005
Kartoffelstärke (Kartoffelmehl),338,0.614,0.1,83.1,0.02
Reis Stärke,344,0.819,0.08,85.0,0.028
Reis Grieß,347,7.198,0.65,77.1,0.01
Reisnudeln roh,365,7.198,0.56,81.9,0.242
Eierteigwaren Tortellini (Fleischfüllung) getrocknet,369,13.51,7.01,61.85,2.162
Eierteigwaren Tortelloni (Ricotta-Spinat-Füllung) getrocknet,278,10.52,4.51,47.76,1.35
Wald-Brombeere roh,49,1.3,0.2,10.2,0.002
Moosbeere roh,69,0.4,0.7,9.93,0.005
Preiselbeere roh,43,0.6875,0.53,6.231,0.005
"Johannisbeere weiß, roh",45,1.1,0.2,6.1,0.005
Johannisbeere schwarz roh,57,1.375,0.22,8.71,0.00282
"Salzlakenkäse aus Kuhmilch, Hirtenkäse, mind. 45 % Fett i. Tr.",259,16.361,21.0,0.0,2.498
"Salzlakenkäse aus Schafmilch, mind. 20 % Fett i. Tr.",161,18.846,9.0,0.0,2.875
"Salzlakenkäse aus Ziegenmilch, mind. 45 % Fett i. Tr.",271,14.9,23.0,0.0,2.288
"Salzlakenkäse aus Schafmilch, mind. 45 % Fett i. Tr.",283,15.445,24.09,0.0,2.392
Danablu mind. 50 % Fett i. Tr.,354,21.5,29.5,0.0,2.9
Spirituosen mit Wacholder,231,0.0,0.0,0.0,0.00035
Spirituosen mit Anis,231,0.0,0.0,0.0,0.00035
Getreidebrand (Korn),231,0.0,0.0,0.0,0.00035
Weinbrand/Brandy,221,0.0,0.0,0.0,0.005
Gin,246,0.0,0.0,0.0,0.00035
Stint roh,85,17.4,1.7,0.0,0.39
Sardelle roh,204,20.1,13.7,0.0,0.26
Seeteufel roh,66,14.9,0.76,0.0,0.272
"Goldbutt/Scholle, tiefgefroren",76,16.4,1.2,0.0,0.368
Flunder roh,88,16.5,2.39,0.0,0.4
Meerbarbe roh,98,20.1,2.0,0.0,0.178
Tintenfisch roh,73,16.1,0.98,0.0,0.968
Schwein Speck/Rückenspeck (grüner Speck) roh,746,4.41,80.92,0.0,0.0992
"Rind Fettgewebe, intermuskulär roh",671,8.2,70.9,0.0,0.072
"Schaf Gulasch (Bug, fett) roh",294,17.2,25.0,0.0,0.242
"Schaf Bratenfleisch (Bug, fett) roh",294,17.2,25.0,0.0,0.242
"Hammel Bug/Schulter, roh",287,15.6,25.0,0.0,0.242
"Ziege Fleisch, roh",127,20.55,5.005,0.0,0.16
"Schaf Keule, mittelfett, roh",180,18.8,11.6,0.0,0.15
"Schaf Schnitzel (Keule, mager) roh",128,22.6,4.2,0.0,0.16
"Schaf Keule, fett, roh",234,18.0,18.0,0.0,0.168
Schlehe roh,52,0.75,0.22,7.82,0.00282
Holunderbeere roh,72,2.53,1.7,7.83,0.002
Tapioka/Tapiokastärke,346,0.625,0.24,84.9,0.01
Kartoffelpüree Instantpulver,329,7.4,0.467,70.7,0.345
Pfeilwurzelmehl/Marantastärke,341,0.3,0.1,83.1,0.005
Cognac,221,0.0,0.0,0.0,0.005
Spirituosen mit bitterem Geschmack (Bitter),325,0.0,0.0,0.0,0.00035
Schnecken roh,68,14.4,1.2,0.0,0.175
Seezunge roh,87,17.5,1.86,0.0,0.25
Rotzunge roh,71,15.5,1.0,0.0,0.302
"Kalb Fettgewebe, intermuskulär roh",671,8.2,70.9,0.0,0.072
"Schaf Hinterhaxe, mittelfett, roh",180,18.8,11.6,0.0,0.15
"Schaf Schnitzel (Keule, mittelfett) roh",180,18.8,11.6,0.0,0.15
"Hammel Keule, roh",234,18.0,18.0,0.0,0.195
Kartoffelkloß (aus rohen Kartoffeln) Trockenprodukt,320,6.03,0.227,70.7,3.475
Kartoffelkloß (aus gekochten Kartoffeln) Trockenprodukt,324,5.76,1.09,70.7,3.0
Seezunge tiefgefroren,73,16.7,0.7,0.0,0.288
"Schaf Vorderhaxe, mittelfett, roh",180,18.8,11.6,0.0,0.15
Roggenvollkornbrot,193,6.04,1.81,32.49,1.1012
Roggenmischbrot,218,7.38,0.97,41.96,1.47
Weizenbrot/Weißbrot,272,8.69,2.97,50.54,1.4205
Weizenbrötchen,280,10.09,1.81,53.97,1.828
Weizen Keim,324,28.48,8.34,24.54,0.0018
"Quinoa weiß, roh",361,12.56,6.29,59.65,0.0088
Weizen Vollkornmehl,339,12.76,1.78,61.78,0.0018
"Weizen Backschrot, Type 1700",341,12.52,1.8,62.39,0.0018
"Weizen Mehl, Type 812",352,12.44,1.38,69.29,0.0055
"Weizen Mehl, Type 1050",352,13.08,1.7,67.91,0.0018
"Weizen Mehl, Type 1600",339,14.52,2.44,59.27,0.0018
"Weizen Mehl, Type 405",348,10.46,0.93,71.77,0.0022
"Weizen Mehl, Type 550",349,11.94,1.09,70.55,0.0018
Weizen Kleie,266,17.2,3.95,18.92,0.0028
"Roggen Mehl, Type 815",323,7.54,0.92,65.17,0.0018
Dinkel Vollkornmehl,335,13.42,2.3,60.13,0.003
Buchweizen roh,339,13.05,3.13,61.86,0.0008
Hirse roh,352,11.79,3.13,67.6,0.001
Cornflakes gesüßt,366,6.24,1.75,79.35,0.8638
Cornflakes ungesüßt,376,7.18,0.84,82.96,0.1472
Reiswaffeln ungesalzen,371,8.0,2.42,77.47,0.0125
Maiswaffeln gesalzen,389,7.98,3.93,79.4,0.2612
"Cerealien extrudiert, gesüßt, ungefüllt, mit Frucht-/Honig-/Karamell-/Schokogeschmack",371,7.92,2.76,75.33,0.547
"Cerealien extrudiert, gesüßt, divers gefüllt",481,6.98,21.08,63.7,0.2962
"Weizenpops/Weizen gepufft, gesüßt",372,9.34,1.8,76.52,0.0048
"Cerealien aus Vollkornweizenschrot, gesüßt, ungefüllt, Natur/Frucht/Schokolade",363,10.36,1.8,71.29,0.0045
Reisdrink ungesüßt,59,0.0,1.04,12.31,0.0975
Haferdrink ungesüßt,29,0.74,1.01,4.0,0.118089
Zwieback eifrei,414,11.05,7.86,72.21,0.6725
Erdnuss geröstet,620,29.0,49.7,9.9,0.008
Salzbrezeln/Salzstangen (Laugendauergebäck),389,11.54,4.3,73.72,4.025
Butterkekse/Butterplätzchen (Mürbeteig),456,7.54,16.12,68.89,0.8212
Hühnerei roh,135,13.175,9.0,0.34,0.385
Hühnerei Pulver,562,46.0,41.8,0.56,1.302
"Hühnerei Eigelb, roh",345,15.6,31.3,0.21,0.13
"Hühnerei Eigelb, getrocknet",671,34.2,59.3,0.23,0.228
"Hühnerei Eiklar, roh",42,9.9,0.03,0.41,0.462
"Hühnerei Eiklar, getrocknet",338,81.1,0.12,3.1,3.55
Rhabarber roh,20,0.6,0.14,1.359,0.005
Apfel roh,58,0.424,0.5,11.7,0.002
Aprikose roh,42,0.8,0.13,8.22,0.005
Aprikose getrocknet,216,2.66,0.23,44.0,0.0052
"Sauerkirsche gezuckert, Konserve, abgetropft",52,0.84,0.21,11.06,0.002
Hagebutte roh,111,3.6,0.6,16.2,0.06
Sanddornbeere roh,51,1.42,3.2,2.4,0.01
"Cranberries getrocknet, gezuckert",287,0.53,0.34,68.61,0.0382
Avocado roh,132,1.37,12.5,1.37,0.012
Banane roh,79,1.319,0.4,15.89,0.0013
Dattel getrocknet,356,2.64,0.36,79.3,0.0118
Feige roh,52,1.3,0.5,9.6,0.002
Feige getrocknet,276,3.54,1.28,55.17,0.335
Granatapfel roh,79,0.7,0.6,16.1,0.005
Kaki roh,67,0.7,0.3,14.125,0.004
"Maracuja/Passionsfrucht, roh",57,0.71331,0.2,9.54,0.0224
Acerola roh,16,0.21,0.23,2.66,0.008
Kiwi roh,61,0.9,0.5,10.1,0.008
Litschi roh,83,0.86,0.3,18.4,0.005
Mango roh,60,0.7,0.45,12.0,0.022
Papaya roh,46,0.7,0.09,9.6,0.035
Brotfrucht roh,100,1.3,0.3,22.529,0.02
"Netzmelone/Cantaloupmelone, roh",25,0.84,0.19,4.5,0.025
Jackfrucht roh,78,1.1,0.45,15.31,0.005
"Karambole/Sternfrucht, roh",27,1.2,0.5,3.5,0.005
Kaktusfeige roh,52,1.0,0.4,8.63,0.0
"Feijoa/Ananas-Guave, roh",53,0.8,0.42,8.4,0.008
"Mandarine gezuckert, Konserve, abgetropft",72,0.51,0.31,16.15,0.0128
"Bananenchips frittiert, gesüßt",490,1.88,30.32,49.35,0.002
Basilikum roh,23,3.15,0.64,0.31,0.01
Schnittlauch roh,29,2.6,0.74,1.54,0.024
Schnittlauch getrocknet,169,21.2,3.5,0.0,0.175
"Feldsalat/Rapunzel, roh",18,1.9,0.36,0.808,0.02515
Kopfsalat roh,18,1.5,0.22,1.7,0.078
Radicchio roh,20,1.4,0.25,2.6,0.055
"Römischer Salat/Romanasalat, roh",14,1.2,0.13,1.3,0.022
Spinat roh,18,2.067,0.3,0.93,0.125
Petersilienblatt getrocknet,238,26.6,5.5,7.3,1.13
Brennnessel roh,46,7.37,0.61,1.309,0.0
Löwenzahn roh,34,3.13,0.62,2.44,0.19
Sauerampfer roh,25,3.19,0.36,1.16,0.0
Gartenkresse roh,31,4.2,0.7,0.23,0.03158
Blumenkohl roh,35,2.424,0.28,5.33,0.03
Broccoli roh,35,3.622,0.5967,2.3,0.065
Rotkohl roh,28,1.563,0.18,3.732,0.028
Rotkohlgemüse (küchenfertig) Konserve,56,1.3,0.15,10.29,1.0688
Weißkohl roh,32,1.382,0.19,4.54,0.012
"Sauerkraut Konserve, abgetropft",34,1.15,0.41,2.37,0.9812
"Fenchelblatt/Bologneser Fenchel, roh",33,2.43,0.3,3.24,0.215
Spargel roh,28,1.96,0.156,3.98,0.00535
"Porree/Lauch, roh",36,2.14,0.25,5.0,0.0012
Okra roh,32,2.1,0.2,3.05,0.01
Tomate roh,22,0.95,0.11,3.25,0.01
Zuckermais roh,67,3.28,1.23,9.4,0.005
"Zuckermais Konserve, abgetropft",79,2.71,1.94,10.84,0.3725
Kürbis Pumpkin (C. pepo) roh,36,1.1,0.13,5.81,0.002228
Zucchini roh,22,1.3,0.287,3.0,0.0027
"Rote Rübe/Rote Bete, roh",43,2.063,0.1,7.22,0.142
"Karotte/Möhre, roh",40,0.84,0.4,6.471,0.0568
Nori-Blatt geröstet,261,38.26,4.36,1.76,1.83
Sojalecithin,760,0.0,83.0,3.2,0.0
Erdnussbutter/Erdnusscreme,606,24.08,47.78,16.09,0.7912
Haselnuss,667,16.25,63.3,4.2,0.0
"Kokos Fruchtfleisch, roh",378,4.623,36.5,3.5,0.088
"Kokos Fruchtfleisch, geraspelt, getrocknet",676,7.38,65.2,7.8,0.0502
Kokoswasser (Fruchtwasser),10,0.25,0.4,1.28,0.118
Cashewkern,618,21.01,47.1,26.0,0.025
Paranuss,704,16.96,68.1,2.8,0.059
Edelkastanie/Marone,210,2.925,1.9,41.2,0.005
Pistazie geröstet ohne Fett,603,24.18,49.3,7.6,0.0065
Kürbiskern,588,35.49,46.34,2.81,0.0692
Gartenbohne reif,344,22.6185,1.6,45.751,0.01
"Sojaschnetzel/Sojagranulat, texturiert, trocken",351,50.2,6.74,13.46,0.004
Mungbohne reif,292,23.9,1.15,38.7,0.035
